iter	Passed	Remaining
0	0	803
1	1	710
2	2	669
3	2	656
4	3	642
5	3	652
6	4	655
7	5	658
8	5	654
9	6	645
10	7	638
11	7	634
12	8	633
13	8	630
14	9	626
15	10	623
16	10	619
17	11	615
18	11	614
19	12	611
20	13	609
21	13	609
22	14	606
23	14	602
24	15	601
25	15	599
26	16	597
27	17	595
28	17	596
29	18	596
30	19	597
31	19	598
32	20	597
33	21	597
34	21	596
35	22	595
36	22	596
37	23	595
38	24	594
39	24	594
40	25	592
41	25	590
42	26	589
43	27	588
44	27	587
45	28	585
46	28	584
47	29	583
48	29	582
49	30	581
50	31	580
51	31	580
52	32	583
53	33	582
54	33	583
55	34	583
56	35	582
57	35	583
58	36	583
59	37	582
60	37	582
61	38	583
62	39	586
63	40	587
64	40	586
65	41	586
66	42	585
67	42	584
68	43	583
69	43	582
70	44	581
71	45	580
72	45	580
73	46	578
74	46	577
75	47	577
76	48	575
77	48	575
78	49	575
79	50	575
80	50	574
81	51	573
82	51	572
83	52	575
84	53	576
85	54	575
86	54	575
87	55	576
88	56	575
89	56	574
90	57	573
91	58	573
92	58	571
93	59	571
94	59	569
95	60	569
96	61	568
97	61	567
98	62	566
99	62	565
100	63	566
101	64	567
102	65	566
103	65	566
104	66	565
105	66	564
106	67	564
107	68	563
108	68	562
109	69	561
110	70	560
111	70	559
112	71	558
113	71	557
114	72	555
115	72	554
116	73	552
117	73	550
118	74	549
119	74	548
120	75	546
121	75	544
122	76	543
123	76	541
124	77	540
125	78	541
126	78	541
127	79	541
128	80	541
129	80	540
130	81	538
131	81	537
132	82	536
133	82	535
134	83	533
135	83	532
136	84	531
137	84	530
138	85	529
139	85	527
140	86	526
141	86	524
142	87	523
143	87	522
144	88	521
145	88	520
146	89	518
147	89	517
148	90	516
149	91	515
150	91	514
151	92	513
152	92	512
153	93	511
154	93	511
155	94	510
156	94	509
157	95	509
158	96	508
159	96	507
160	97	505
161	97	504
162	98	504
163	98	503
164	99	502
165	99	501
166	100	500
167	100	499
168	101	498
169	101	497
170	102	496
171	103	495
172	103	495
173	104	494
174	104	493
175	105	492
176	105	491
177	106	490
178	106	489
179	107	488
180	107	487
181	108	486
182	108	485
183	109	484
184	109	484
185	110	482
186	110	482
187	111	481
188	111	480
189	112	479
190	112	478
191	113	477
192	114	476
193	114	475
194	115	475
195	115	474
196	116	473
197	116	472
198	117	471
199	117	470
200	118	469
201	118	468
202	119	468
203	119	467
204	120	466
205	120	465
206	121	464
207	121	463
208	122	462
209	122	462
210	124	465
211	125	466
212	126	466
213	126	466
214	127	465
215	128	464
216	128	464
217	129	463
218	129	462
219	130	461
220	130	460
221	131	460
222	131	459
223	132	458
224	132	457
225	133	457
226	133	456
227	134	455
228	135	454
229	135	453
230	136	453
231	136	452
232	137	451
233	137	450
234	138	450
235	138	449
236	139	449
237	140	449
238	140	448
239	141	448
